Pozycja,Forma podstawowa,Liczba wystąpień,Pierwsza litera etykiety
7490,politolog,22,A
7491,uchylać,22,B
7492,uzdrowienie,22,A
7493,przypisywać,22,B
7494,dostarczenie,22,A
7495,wychowywać,22,B
7496,kulminacja,22,A
7497,zaakceptowany,22,C
7498,uboczny,22,C
7499,tura,22,A
7500,urzędować,22,B
7501,cywilizowany,22,C
7502,szczery,22,C
7503,wybić,22,B
7504,rycerz,22,A
7505,brnąć,22,B
7506,przybrać,22,B
7507,okresowy,22,C
7508,uposażenie,22,A
7509,nieszczęście,22,A
7510,kilkugodzinny,22,C
7511,zimno,22,A
7512,antykoncepcyjny,22,C
7513,gąbczasty,22,C
7514,kaczka,22,A
7515,czekający,22,C
7516,kontrolowanie,22,A
7517,niezbyt,22,F
7518,zasadzka,22,A
7519,wyprowadzenie,22,A
7520,gwarancyjny,22,C
7521,wniesienie,22,A
7522,wyzwoleńczy,22,C
7523,wygaśnięcie,22,A
7524,ciągnąć,22,B
7525,solowy,22,C
7526,gumowy,22,C
7527,akcesja,22,A
7528,upowszechnienie,22,A
7529,wpisanie,22,A
7530,odbudować,22,B
7531,nabierać,22,B
7532,odtworzyć,22,B
7533,prawnie,22,F
7534,pancerny,22,C
7535,testament,22,A
7536,parametr,22,A
7537,celebrować,22,B
7538,skontrolować,22,B
7539,laserowy,22,C
7540,dłużnik,22,A
7541,skarżący,22,A
7542,zasadność,22,A
7543,cyrk,22,A
7544,tkwić,22,B
7545,zapewniający,22,C
7546,balkon,22,A
7547,marzyć,22,B
7548,obniżanie,22,A
7549,przedstawiany,22,C
7550,zachodzący,22,C
7551,rozłam,22,A
7552,nos,22,A
7553,trzyosobowy,22,C
7554,przytoczyć,22,B
7555,kaszmir,22,A
7556,dyrektorka,22,A
7557,przychylny,22,C
7558,dwudziesta,22,A
7559,grobowiec,22,A
7560,rozdzielić,22,B
7561,kajakowy,22,C
7562,odważny,22,C
7563,układać,22,B
7564,audiowizualny,22,C
7565,żart,22,A
7566,zmechanizowany,22,C
7567,dym,22,A
7568,pełnoprawny,22,C
7569,słodycz,22,A
7570,gospodarczo,22,F
7571,pal,22,A
7572,koordynacyjny,22,C
7573,martwić,22,B
7574,bezprawnie,22,F
7575,wysyłanie,22,A
7576,rura,22,A
7577,zaglądać,22,B
7578,upaść,22,B
7579,wskazówka,22,A
7580,unieważnić,22,B
7581,genetyka,22,A
7582,zdetonować,22,B
7583,ustabilizować,22,B
7584,ubrać,22,B
7585,zniesławienie,22,A
7586,odjechać,22,B
7587,postarać się,22,B
7588,najsilniejszy,22,C
7589,równorzędny,22,C
7590,bor,22,A
7591,szyć,22,B
7592,przesłuchiwany,22,C
7593,Wielkanoc,22,A
7594,piękno,22,A
7595,kolejno,22,F
7596,pasterski,22,C
7597,plastyk,22,A
7598,wesoły,22,C
7599,spektakularny,22,C
7600,wywóz,22,A
7601,redakcyjny,22,C
7602,ożywić,22,B
7603,głodzić,22,B
7604,poszkodowany,22,A
7605,selekcja,22,A
7606,procesowy,22,C
7607,dbałość,22,A
7608,współorganizator,22,A
7609,wpis,22,A
7610,pruski,22,C
7611,holenderka,22,A
7612,kawiarenka,22,A
7613,wyskoczyć,22,B
7614,metropolia,22,A
7615,koszar,22,A
7616,fizycznie,22,F
7617,zarządca,22,A
7618,skomplikować,22,B
7619,sylwestrowy,22,C
7620,runąć,22,B
7621,automat,22,A
7622,egzotyczny,22,C
7623,bateria,22,A
7624,smok,22,A
7625,startowy,22,C
7626,płaszczyzna,22,A
7627,uproszczenie,22,A
7628,koza,22,A
7629,kormoran,22,A
7630,neonazista,22,A
7631,obrażać,22,B
7632,darczyńca,22,A
7633,kiep,22,A
7634,torpeda,22,A
7635,noworoczny,22,C
7636,koszyk,21,A
7637,cenzura,21,A
7638,trenować,21,B
7639,postępujący,21,C
7640,zdobywanie,21,A
7641,destabilizacja,21,A
7642,transmitowany,21,C
7643,zanikający,21,C
7644,zamieszkiwać,21,B
7645,sygnalizować,21,B
7646,ewentualność,21,A
7647,niepewność,21,A
7648,arbiter,21,A
7649,punktacja,21,A
7650,uznający,21,C
7651,koc,21,A
7652,teka,21,A
7653,przenoszenie,21,A
7654,żegnać,21,B
7655,zmieniający,21,C
7656,wyczyn,21,A
7657,zarażenie,21,A
7658,wydalenie,21,A
7659,blokowanie,21,A
7660,akredytacja,21,A
7661,interpretować,21,B
7662,pedofilia,21,A
7663,rozdzielenie,21,A
7664,zasilić,21,B
7665,przeszukanie,21,A
7666,sprinterski,21,C
7667,niedostateczny,21,C
7668,cieśnina,21,A
7669,ustanawiać,21,B
7670,spoczynek,21,A
7671,więziony,21,C
7672,uporać się,21,B
7673,wyobrazić,21,B
7674,powództwo,21,A
7675,specjalizować,21,B
7676,wznieść,21,B
7677,wedrzeć się,21,B
7678,kwit,21,A
7679,pokrywać,21,B
7680,wyrażający,21,C
7681,reklamować,21,B
7682,konsekwentny,21,C
7683,uczciwość,21,A
7684,konsularny,21,C
7685,modelka,21,A
7686,reformowanie,21,A
7687,odkupić,21,B
7688,arbitrażowy,21,C
7689,zataić,21,B
7690,dzielenie,21,A
7691,komin,21,A
7692,wypełnienie,21,A
7693,loteria,21,A
7694,uspokoić,21,B
7695,juz,21,A
7696,dewizowy,21,C
7697,ruchomy,21,C
7698,wspomaganie,21,A
7699,humanistyczny,21,C
7700,duszpasterz,21,A
7701,sojuszniczy,21,C
7702,komandorski,21,C
7703,kompromisowy,21,C
7704,wywiezienie,21,A
7705,żałoba,21,A
7706,odwiedzający,21,C
7707,moratorium,21,A
7708,polemika,21,A
7709,sklonować,21,B
7710,sklonowany,21,C
7711,schwytać,21,B
7712,replika,21,A
7713,teoretyczny,21,C
7714,dziennikarstwo,21,A
7715,kradziony,21,C
7716,nieoczekiwany,21,C
7717,syrena,21,A
7718,orzech,21,A
7719,trotyl,21,A
7720,rozkład,21,A
7721,personalna,21,A
7722,podporządkować,21,B
7723,pochodna,21,A
7724,braterstwo,21,A
7725,odporność,21,A
7726,przylot,21,A
7727,słup,21,A
7728,faszystowski,21,C
7729,półciężki,21,C
7730,darzyć,21,B
7731,ciemność,21,A
7732,skontaktować,21,B
7733,wypowiedziany,21,C
7734,powaga,21,A
7735,nawiązujący,21,C
7736,sprawdzian,21,A
7737,otwartość,21,A
7738,filozof,21,A
7739,handlujący,21,C
7740,panda,21,A
7741,sześcioro,21,D
7742,łatwiejszy,21,C
7743,górnica,21,A
7744,opuszczony,21,C
7745,symbolizować,21,B
7746,misterium,21,A
7747,hel,21,A
7748,ruszać,21,B
7749,przeglądarka,21,A
7750,przybrzeżny,21,C
7751,upadłościowy,21,C
7752,ordynariusz,21,A
7753,dziesięcioletni,21,C
7754,odczucie,21,A
7755,zachorować,21,B
7756,przełomowy,21,C
7757,przenośny,21,C
7758,promień,21,A
7759,śródziemny,21,C
7760,patriotyzm,21,A
7761,bieżąco,21,F
7762,trybunalski,21,C
7763,ziarno,21,A
7764,pobieranie,21,A
7765,potomstwo,21,A
7766,legitymacja,21,A
7767,odbywanie,21,A
7768,otaczający,21,C
7769,kur,21,A
7770,rzeź,21,A
7771,przedłużony,21,C
7772,pieszo,21,F
7773,pętla,21,A
7774,zamieszać,21,B
7775,kilkudniowy,21,C
7776,pomidor,21,A
7777,przeznaczany,21,C
7778,lewacki,21,C
7779,jednoczenie,21,A
7780,poświadczenie,21,A
7781,przesyłany,21,C
7782,batuta,21,A
7783,nałożenie,21,A
7784,garda,21,A
7785,krążyć,21,B
7786,objawienie,21,A
7787,zakonny,21,C
7788,gwarant,21,A
7789,zrozumiały,21,C
7790,dramatycznie,21,F
7791,okrążenie,21,A
7792,literat,21,A
7793,żywienie,21,A
7794,gruszka,21,A
7795,dorosły,21,C
7796,omówienie,21,A
7797,bożonarodzeniowy,21,C
7798,wynegocjowany,21,C
7799,szermierka,21,A
7800,ekspres,21,A
7801,lekarka,21,A
7802,bagaż,21,A
7803,enzym,21,A
7804,ordynator,21,A
7805,zaoferowany,21,C
7806,przedłożyć,21,B
7807,sołtys,21,A
7808,priorytetowy,21,C
7809,uboższy,21,C
7810,głodujący,21,C
7811,dalekomorski,21,C
7812,podniesiony,20,C
7813,naprzeciw,20,G
7814,taktyka,20,A
7815,uprzywilejowany,20,C
7816,przepaść,20,A
7817,dopuszczający,20,C
7818,polisa,20,A
7819,miękki,20,C
7820,figurować,20,B
7821,tytułowy,20,C
7822,kilkuletni,20,C
7823,bazar,20,A
7824,odesłać,20,B
7825,zatajenie,20,A
7826,skomentowanie,20,A
7827,patronować,20,B
7828,poddawany,20,C
7829,pilnie,20,F
7830,optymista,20,A
7831,napięty,20,C
7832,celowo,20,F
7833,epidemiologiczny,20,C
7834,skomponować,20,B
7835,ćwierć,20,A
7836,deklarujący,20,C
7837,kosz,20,A
7838,sprawozdawca,20,A
7839,dań,20,A
7840,zwiedzić,20,B
7841,dostawczy,20,C
7842,niemożność,20,A
7843,alkoholizm,20,A
7844,zbawienie,20,A
7845,nosiciel,20,A
7846,heros,20,A
7847,rysować,20,B
7848,podatny,20,C
7849,kieszeń,20,A
7850,uderzać,20,B
7851,narodzić,20,B
7852,kozak,20,A
7853,deportować,20,B
7854,potrzebujący,20,A
7855,zgłaszany,20,C
7856,wstrzymywać,20,B
7857,zahamować,20,B
7858,trzeźwość,20,A
7859,ściślejszy,20,C
7860,kontrabanda,20,A
7861,kreacja,20,A
7862,nawoływanie,20,A
7863,chłopski,20,C
7864,zażywać,20,B
7865,odwrotnie,20,F
7866,rozpaść się,20,B
7867,definitywnie,20,F
7868,najistotniejszy,20,C
7869,polowanie,20,A
7870,piec,20,A
7871,nerw,20,A
7872,komandos,20,A
7873,bezzasadny,20,C
7874,lama,20,A
7875,bezskutecznie,20,F
7876,szwank,20,A
7877,wyłanianie,20,A
7878,oczyszczenie,20,A
7879,proklamować,20,B
7880,zbrodniczy,20,C
7881,zarządzany,20,C
7882,spisać,20,B
7883,poręba,20,A
7884,seniorka,20,A
7885,spocząć,20,B
7886,trwały,20,C
7887,narodowościowy,20,C
7888,imperium,20,A
7889,niżowy,20,C
7890,degradacja,20,A
7891,zadany,20,C
7892,zgwałcić,20,B
7893,zgłaszanie,20,A
7894,pszczoła,20,A
7895,zwalniać,20,B
7896,sprawujący,20,C
7897,perkusista,20,A
7898,obfity,20,C
7899,kronika,20,A
7900,wszechstronny,20,C
7901,przyznający,20,C
7902,metro,20,A
7903,oto,20,G
7904,pierwszeństwo,20,A
7905,postrzelenie,20,A
7906,zapalny,20,C
7907,pomocny,20,C
7908,specyfik,20,A
7909,przyspieszać,20,B
7910,zmartwychwstać,20,B
7911,wspierany,20,C
7912,zagwarantowany,20,C
7913,pragmatyczny,20,C
7914,krzyk,20,A
7915,dworek,20,A
7916,oszczędnościowy,20,C
7917,służący,20,A
7918,wystawianie,20,A
7919,uporządkowanie,20,A
7920,orzekający,20,C
7921,domek,20,A
7922,strzec,20,B
7923,wykorzystujący,20,C
7924,zwalczający,20,C
7925,noszący,20,C
7926,datek,20,A
7927,oratorium,20,A
7928,nagrywać,20,B
7929,zbadany,20,C
7930,zbieżny,20,C
7931,torebka,20,A
7932,etnograficzny,20,C
7933,biblia,20,A
7934,ujawnianie,20,A
7935,dosłownie,20,F
7936,wykopaliskowy,20,C
7937,aktywizacja,20,A
7938,ilustracja,20,A
7939,współczucie,20,A
7940,emigracyjny,20,C
7941,debiutować,20,B
7942,przypomnienie,20,A
7943,jezdnia,20,A
7944,bubel,20,A
7945,senatorski,20,C
7946,grypa,20,A
7947,akwen,20,A
7948,udostępniać,20,B
7949,krajobraz,20,A
7950,emirat,20,A
7951,śniadanie,20,A
7952,niepewny,20,C
7953,bankowość,20,A
7954,wydzielony,20,C
7955,eliminować,20,B
7956,zróżnicowanie,20,A
7957,uzdrowisko,20,A
7958,pomocniczy,20,C
7959,podobieństwo,20,A
7960,relikwia,20,A
7961,geografia,20,A
7962,garnizon,20,A
7963,zablokowany,20,C
7964,przebywanie,20,A
7965,warunkowo,20,F
7966,zaniechać,20,B
7967,wioślarski,20,C
7968,naprawczy,20,C
7969,integracyjny,20,C
7970,pasza,20,A
7971,oryginał,20,A
7972,apartament,20,A
7973,nierzetelny,20,C
7974,pływaczka,20,A
7975,niedostępny,20,C
7976,ropociąg,20,A
7977,korowód,20,A
7978,strusi,20,C
7979,panorama,20,A
7980,przełożony,20,A
7981,ideowy,20,C
7982,urządzić,20,B
7983,naprzód,20,F
7984,nić,20,A
7985,herbata,20,A
7986,masło,20,A
7987,gladiator,20,A
7988,wysypywanie,20,A
7989,ukończony,20,C
7990,jednostronnie,20,F
7991,fenomen,20,A
7992,marka,20,A
7993,delegalizacja,20,A
7994,dezyderat,20,A
7995,wzorzec,20,A
7996,macierzyński,20,C
7997,śledzenie,20,A
7998,taternik,20,A
7999,wąski,20,C
8000,sondażowy,20,C
8001,rozstrzygnięty,19,C
8002,oczekujący,19,C
8003,zdjąć,19,B
8004,nakłanianie,19,A
8005,niedostatek,19,A
8006,obyczajowy,19,C
8007,odczytywać,19,B
8008,luk,19,A
8009,wystawiany,19,C
8010,dyskutowany,19,C
8011,wywiązywać się,19,B
8012,dominacja,19,A
8013,przechodzień,19,A
8014,lir,19,A
8015,debatować,19,B
8016,rozległy,19,C
8017,świadom,19,C
8018,obchodzący,19,C
8019,przeważający,19,C
8020,idealny,19,C
8021,wioślarz,19,A
8022,przyjemność,19,A
8023,spodobać się,19,B
8024,brzmienie,19,A
8025,mnóstwo,19,A
8026,dostojnik,19,A
8027,atrakcyjność,19,A
8028,barażowy,19,C
8029,byk,19,A
8030,podyktowany,19,C
8031,trzon,19,A
8032,potencjalnie,19,F
8033,proporcja,19,A
8034,definitywny,19,C
8035,orzekanie,19,A
8036,defilada,19,A
8037,podpułkownik,19,A
8038,odwiedzany,19,C
8039,solidny,19,C
8040,mierzący,19,C
8041,skoda,19,A
8042,poinformowanie,19,A
8043,rozdać,19,B
8044,ciągłość,19,A
8045,przytaczać,19,B
8046,przesłaniać,19,B
8047,wyznać,19,B
8048,impotencja,19,A
8049,zamówić,19,B
8050,jednomyślność,19,A
8051,czucie,19,A
8052,łyżwiarski,19,C
8053,przytomność,19,A
8054,tan,19,A
8055,eksperymentalny,19,C
8056,efektywność,19,A
8057,borykać się,19,B
8058,udusić,19,B
8059,zimne,19,A
8060,darowizna,19,A
8061,oddechowy,19,C
8062,pneumatyczny,19,C
8063,łuk,19,A
8064,doceniać,19,B
8065,et,19,G
8066,kręcić,19,B
8067,nagana,19,A
8068,uruchamiać,19,B
8069,swobodnie,19,F
8070,publikowanie,19,A
8071,kujawski,19,C
8072,współdziałać,19,B
8073,wrogość,19,A
8074,usiłujący,19,C
8075,sola,19,A
8076,zawieszać,19,B
8077,erotyczny,19,C
8078,lojalny,19,C
8079,gastronomiczny,19,C
8080,nieuchronny,19,C
8081,nietolerancja,19,A
8082,niepokonany,19,C
8083,czterdziesty,19,C
8084,posłuchać,19,B
8085,mocniejszy,19,C
8086,wieprzowina,19,A
8087,posada,19,A
8088,biografia,19,A
8089,mafijny,19,C
8090,garbarnia,19,A
8091,współwłaściciel,19,A
8092,haniebny,19,C
8093,uwięzienie,19,A
8094,trio,19,A
8095,odróżnienie,19,A
8096,stojąco,19,F
8097,skupisko,19,A
8098,pozór,19,A
8099,docenić,19,B
8100,wymieniany,19,C
8101,utalentowany,19,C
8102,wernisaż,19,A
8103,tabliczka,19,A
8104,specjalność,19,A
8105,ryzykować,19,B
8106,organizujący,19,C
8107,sterować,19,B
8108,obudzić,19,B
8109,rozlec się,19,B
8110,celebrowany,19,C
8111,pospolity,19,C
8112,żywić,19,B
8113,przód,19,A
8114,zadawać,19,B
8115,zaakcentować,19,B
8116,receptor,19,A
8117,opatrzony,19,C
8118,obrzeże,19,A
8119,solidaryzować się,19,B
8120,romans,19,A
8121,walizka,19,A
8122,posiłkowy,19,C
8123,żyto,19,A
8124,podkomisja,19,A
8125,piechota,19,A
8126,barokowy,19,C
8127,nieobecny,19,C
8128,osądzenie,19,A
8129,wychowanek,19,A
8130,nigdzie,19,G
8131,innowacyjny,19,C
8132,przewiezienie,19,A
8133,niemoralny,19,C
8134,oczyszczony,19,C
8135,napotykać,19,B
8136,piwowarski,19,C
8137,floret,19,A
8138,ekonomicznie,19,F
8139,niedługi,19,C
8140,proza,19,A
8141,wolontariat,19,A
8142,przejawiać,19,B
8143,napływający,19,C
8144,wybryk,19,A
8145,filharmonik,19,A
8146,posługiwanie,19,A
8147,ozon,19,A
8148,książeczka,19,A
8149,budka,19,A
8150,patrolować,19,B
8151,konfiskata,19,A
8152,częstszy,19,C
8153,kopa,19,A
8154,przetrwanie,19,A
8155,pretensja,19,A
8156,mobilizacja,19,A
8157,najemca,19,A
8158,pomost,19,A
8159,pozwana,19,A
8160,gałązka,19,A
8161,pisanka,19,A
8162,wypoczynkowy,19,C
8163,demokratyzacja,19,A
8164,skała,19,A
8165,przesyłowy,19,C
8166,wieżowiec,19,A
8167,kropka,19,A
8168,radosny,19,C
8169,sługa,19,A
8170,wzniesienie,19,A
8171,wykryty,19,C
8172,telewidz,19,A
8173,podopieczny,19,A
8174,buddyjski,19,C
8175,zorientować,19,B
8176,pokarmowy,19,C
8177,odkopać,19,B
8178,beczka,19,A
8179,nadmiernie,19,F
8180,portfel,19,A
8181,winda,19,A
8182,repatriant,19,A
8183,najdłużej,19,F
8184,wypędzenie,19,A
8185,odczytany,19,C
8186,stowarzyszony,19,C
8187,kręgosłup,19,A
8188,rzetelność,19,A
8189,miniaturowy,19,C
8190,trzustka,19,A
8191,jeździec,19,A
8192,sprowokować,19,B
8193,hejnał,19,A
8194,wynegocjować,19,B
8195,zasłużyć,19,B
8196,delta,19,A
8197,zmobilizować,19,B
8198,tama,19,A
8199,wielokrotna,19,A
8200,pośrednio,19,F
8201,zakwalifikowany,19,C
8202,zapanować,19,B
8203,bak,19,A
8204,skażony,19,C
8205,dwunasty,19,C
8206,spieszyć,19,B
8207,skansen,19,A
8208,petarda,19,A
8209,beta,19,A
8210,ulewa,19,A
8211,programowo,19,F
8212,zostawiać,19,B
8213,słychać,19,B
8214,ogródek,19,A
8215,margines,19,A
8216,klon,19,A
8217,wezwany,19,C
8218,ryzykowny,19,C
8219,kongresman,19,A
8220,żelatyna,19,A
8221,zupa,19,A
8222,nadmorski,19,C
8223,przewożący,19,C
8224,biegnący,19,C
8225,obalić,19,B
8226,naziemny,19,C
8227,parafialny,19,C
8228,obciążyć,19,B
8229,sprowadzany,19,C
8230,dożynki,19,A
8231,nośnik,19,A
8232,nietoperz,19,A
8233,powściągliwość,19,A
8234,stypendialny,19,C
8235,zryw,19,A
8236,przesadzony,19,C
8237,choinka,19,A
8238,hałas,19,A
8239,haczyk,19,A
8240,ciężarowiec,19,A
8241,samotnik,19,A
8242,ośmioro,19,D
8243,ominąć,19,B
8244,przeliczanie,19,A
8245,legato,19,A
8246,sosenka,19,A
8247,przezwyciężenie,18,A
8248,pożyczyć,18,B
8249,komar,18,A
8250,kwalifikowany,18,C
8251,nadmiar,18,A
8252,akcentować,18,B
8253,partyzancki,18,C
8254,zejście,18,A
8255,pięciokrotnie,18,F
8256,płonący,18,C
8257,zmniejszanie,18,A
8258,asystować,18,B
8259,impresjonista,18,A
8260,piątka,18,A
8261,proszek,18,A
8262,dogonić,18,B
8263,przejrzysty,18,C
8264,piosenkarz,18,A
8265,dziesiątka,18,A
8266,śmiać się,18,B
8267,strawa,18,A
8268,krzesło,18,A
8269,torturowanie,18,A
8270,publicystyczny,18,C
8271,zamrozić,18,B
8272,półfinalista,18,A
8273,opancerzony,18,C
8274,carski,18,C
8275,wdrożyć,18,B
8276,sztafetowy,18,C
8277,malarski,18,C
8278,zawodowo,18,F
8279,polepszyć,18,B
8280,opuszczanie,18,A
8281,przykazanie,18,A
8282,naruszony,18,C
8283,rozgrywający,18,C
8284,gil,18,A
8285,oklaski,18,A
8286,odwrócić,18,B
8287,dama,18,A
8288,czystka,18,A
8289,dopływ,18,A
8290,cząstka,18,A
8291,przyjście,18,A
8292,bolszewik,18,A
8293,higiena,18,A
8294,autentyczność,18,A
8295,wychodzenie,18,A
8296,narastający,18,C
8297,bezstronny,18,C
8298,jednoosobowy,18,C
8299,okular,18,A
8300,straszyć,18,B
8301,stężenie,18,A
8302,logiczny,18,C
8303,błogosławiony,18,A
8304,zaleta,18,A
8305,wenecki,18,C
8306,kraśnik,18,A
8307,arcymistrz,18,A
8308,przejmowanie,18,A
8309,zamierzenie,18,A
8310,obywatelka,18,A
8311,awangarda,18,A
8312,uczestniczka,18,A
8313,hamburger,18,A
8314,zamienny,18,C
8315,mleczarski,18,C
8316,zaprojektować,18,B
8317,przekupstwo,18,A
8318,wrona,18,A
8319,realia,18,A
8320,prawodawstwo,18,A
8321,skorygować,18,B
8322,skrzypcowy,18,C
8323,rugby,18,A
8324,stabilizacyjny,18,C
8325,uniemożliwienie,18,A
8326,volvo,18,A
8327,fundator,18,A
8328,wykaz,18,A
8329,obliczanie,18,A
8330,odnowiony,18,C
8331,hebrajski,18,C
8332,udający,18,C
8333,oczko,18,A
8334,pokazujący,18,C
8335,kąpiel,18,A
8336,łąka,18,A
8337,inwalida,18,A
8338,przesłuchany,18,C
8339,rów,18,A
8340,motywować,18,B
8341,zabezpieczający,18,C
8342,chorobowe,18,A
8343,precedensowy,18,C
8344,korzenić się,18,B
8345,szyja,18,A
8346,wykwalifikowany,18,C
8347,cygański,18,C
8348,pieszy,18,C
8349,polonez,18,A
8350,sterroryzować,18,B
8351,ksenofobia,18,A
8352,przybliżyć,18,B
8353,chóralny,18,C
8354,owad,18,A
8355,obydwie,18,D
8356,nadesłany,18,C
8357,uprzedzenie,18,A
8358,pojemność,18,A
8359,madison,18,A
8360,pisany,18,C
8361,krótkometrażowy,18,C
8362,zaciągnąć,18,B
8363,świński,18,C
8364,cukrowniczy,18,C
8365,namalować,18,B
8366,bodziec,18,A
8367,dźwiękowy,18,C
8368,powtórny,18,C
8369,przysięgły,18,C
8370,wyrównany,18,C
8371,miliardowy,18,C
8372,tańczyć,18,B
8373,pobudka,18,A
8374,precyzyjnie,18,F
8375,gałąź,18,A
8376,róg,18,A
8377,pogróżka,18,A
8378,zainicjowany,18,C
8379,totalitaryzm,18,A
8380,szosowy,18,C
8381,czterokrotny,18,C
8382,końcówka,18,A
8383,pociągnięcie,18,A
8384,zapobiegawczy,18,C
8385,wytrzeźwienie,18,A
8386,radykał,18,A
8387,pośredniczący,18,C
8388,pełniony,18,C
8389,szkodliwość,18,A
8390,nabrać,18,B
8391,biesiada,18,A
8392,ubytek,18,A
8393,projektowany,18,C
8394,postrzałowy,18,C
8395,stwierdzony,18,C
8396,arcydzieło,18,A
8397,wszczepienie,18,A
8398,wymagający,18,C
8399,skakać,18,B
8400,uzgadniać,18,B
8401,wysiedlenie,18,A
8402,niszczyciel,18,A
8403,paserstwo,18,A
8404,znosić,18,B
8405,adresowany,18,C
8406,sieciowy,18,C
8407,ogrodzenie,18,A
8408,zabudowanie,18,A
8409,rozliczyć,18,B
8410,zawiązać,18,B
8411,różnorodny,18,C
8412,ląd,18,A
8413,uciekający,18,C
8414,zabawka,18,A
8415,podrzut,18,A
8416,narzeczona,18,A
8417,opowiadający,18,C
8418,motywacyjny,18,C
8419,półmetek,18,A
8420,obserwacyjny,18,C
8421,biskupstwo,18,A
8422,nowina,18,A
8423,doznany,18,C
8424,moździerzowy,18,C
8425,wojaczka,18,A
8426,pozować,18,B
8427,jeździecki,18,C
8428,błękitny,18,C
8429,przelot,18,A
8430,rozpatrywanie,18,A
8431,znacząco,18,F
8432,ochotniczy,18,C
8433,żółw,18,A
8434,wycofywanie,18,A
8435,taras,18,A
8436,ofensywny,18,C
8437,burta,18,A
8438,hipodrom,18,A
8439,mini,18,A
8440,obliczeniowy,18,C
8441,elementarny,18,C
8442,wspomóc,18,B
8443,wyginięcie,18,A
8444,wyłudzanie,18,A
8445,życzliwość,18,A
8446,oszczerstwo,18,A
8447,odznaka,18,A
8448,zaostrzony,18,C
8449,niepożądany,18,C
8450,parasol,18,A
8451,sprawdzony,18,C
8452,kłamliwy,18,C
8453,obojętny,18,C
8454,trawiasty,18,C
8455,potępiający,18,C
8456,komplikacja,18,A
8457,morfina,18,A
8458,zatruć,18,B
8459,pięść,18,A
8460,podskoczyć,18,B
8461,przypuszczenie,18,A
8462,przystosowany,18,C
8463,toksyczny,18,C
8464,użyczenie,18,A
8465,omijający,18,C
8466,instrumentalista,18,A
8467,dojazdowy,18,C
8468,zaćmienie,18,A
8469,pamiętnik,18,A
8470,drobny,17,C
8471,patriota,17,A
8472,odessać,17,B
8473,jednoczący,17,C
8474,przymusowo,17,F
8475,życzliwy,17,C
8476,obwiniać,17,B
8477,utorować,17,B
8478,graf,17,A
8479,ochłodzenie,17,A
8480,finansista,17,A
8481,robienie,17,A
8482,poradnia,17,A
8483,nelson,17,A
8484,wysoce,17,F
8485,opanowanie,17,A
8486,wybaczenie,17,A
8487,muszy,17,C
8488,decentralizacja,17,A
8489,zasygnalizować,17,B
8490,wiktoria,17,A
8491,ślubowanie,17,A
8492,cieszyński,17,C
8493,zrodzić,17,B
8494,zerwany,17,C
8495,powoływanie,17,A
8496,fiskus,17,A
8497,graficzny,17,C
8498,przelecieć,17,B
8499,bastion,17,A
8500,monitorujący,17,C
8501,obarczać,17,B
8502,eksportować,17,B
8503,płytki,17,C
8504,rozpowszechniany,17,C
8505,siarka,17,A
8506,odzyskiwać,17,B
8507,rozstrzygać,17,B
8508,rozwiać,17,B
8509,przejeżdżać,17,B
8510,lekceważyć,17,B
8511,obstawać,17,B
8512,pułap,17,A
8513,wręczanie,17,A
8514,drukarnia,17,A
8515,powtórzony,17,C
8516,wychodzący,17,C
8517,wstrzymany,17,C
8518,wmurować,17,B
8519,wynajęty,17,C
8520,ewidencja,17,A
8521,powiększać,17,B
8522,nieuleczalny,17,C
8523,cement,17,A
8524,malować,17,B
8525,odpust,17,A
8526,sarkofag,17,A
8527,kawaler,17,A
8528,siedzący,17,C
8529,posunąć,17,B
8530,podsumowujący,17,C
8531,zapowiadający,17,C
8532,poszerzanie,17,A
8533,wiezienie,17,A
8534,obraza,17,A
8535,szosa,17,A
8536,kuchenny,17,C
8537,proceduralny,17,C
8538,skrucha,17,A
8539,doprowadzać,17,B
8540,poruszony,17,C
8541,profesjonalizm,17,A
8542,standardowy,17,C
8543,grzbietowy,17,C
8544,inspirować,17,B
8545,rybny,17,C
8546,sztywny,17,C
8547,podporządkowany,17,C
8548,delfin,17,A
8549,szantażować,17,B
8550,nienależny,17,C
8551,wycenić,17,B
8552,dojechać,17,B
8553,samodzielność,17,A
8554,bierny,17,C
8555,odnoszący,17,C
8556,pretendent,17,A
8557,czternasty,17,C
8558,świetlny,17,C
8559,pedofil,17,A
8560,opiekuńczy,17,C
8561,niezdolność,17,A
8562,popełniany,17,C
8563,aneks,17,A
8564,wynalazca,17,A
8565,przeszukiwać,17,B
8566,gniazdo,17,A
8567,wierch,17,A
8568,komornik,17,A
8569,nominał,17,A
8570,katolicyzm,17,A
8571,gestia,17,A
8572,respektowanie,17,A
8573,informujący,17,C
8574,miażdżyca,17,A
8575,ignorować,17,B
8576,pojednawczy,17,C
8577,wgląd,17,A
8578,brutalność,17,A
8579,popełniać,17,B
8580,wykrywalność,17,A
8581,saper,17,A
8582,dowodzony,17,C
8583,ufundowany,17,C
8584,ts,17,G
8585,serdeczny,17,C
8586,pogratulować,17,B
8587,polepszenie,17,A
8588,bytowy,17,C
8589,myśliwy,17,A
8590,gród,17,A
8591,niesprawny,17,C
8592,pozbyć się,17,B
8593,jen,17,A
8594,zranienie,17,A
8595,zapaśnik,17,A
8596,bunkier,17,A
8597,popiersie,17,A
